Rank ,Item 
1,Hegemony: Lead Your Class to Victory
2,Blood Rage
3,Mysthea
4,The Gallerist
5,Twilight Struggle
6,La Cosa Nostra
7,Sword & Sorcery
8,Spartacus: A Game of Blood and Treachery
9,Project: ELITE
10,Nemesis
11,Hansa Teutonica: Big Box
12,Fury of Dracula (Third/Fourth Edition)
13,Viticulture Essential Edition
14,War Chest
15,Kanban EV
16,Everdell
17,Sky Team
18,Tyrants of the Underdark: Board Game
19,City of the Great Machine
20,Res Arcana
21,Unconscious Mind
22,Dune: Imperium – Uprising
23,Five Tribes: The Djinns of Naqala
24,Captain Sonar
25,Scythe
26,Clank!: A Deck-Building Adventure
27,Lost Ruins of Arnak
28,The Fox Experiment
29,Dune: Imperium
30,The Search for Planet X
31,Galaxy Trucker (Second Edition)
32,Return to Dark Tower
33,The Quest for El Dorado
34,Dune: War for Arrakis
35,Mind MGMT: The Psychic Espionage “Game.”
36,Shards of Infinity
37,Survive: Escape from Atlantis!
38,Hero Realms
39,Mage Knight: Ultimate Edition
40,On Mars
41,Undaunted: Normandy
42,Trickerion: Collector's Edition
43,Harmonies
44,Brazil: Imperial
45,Intent to Kill
46,London (Second Edition)
47,Vinhos: Deluxe Edition
48,Pampero
49,Evergreen
50,Revive
51,Barrage
52,Marco Polo II: In the Service of the Khan
53,Small World
54,Feed the Kraken
55,Castles of Mad King Ludwig
56,Nanty Narking
57,Radlands
58,Maximum Apocalypse
59,Brass: Lancashire
60,The Castles of Burgundy
61,Cryptid
62,7 Wonders (Second Edition)
63,Re;ACT - The Arts of War
64,Arkham Horror: The Card Game
65,Yukon Airways
66,It's a Wonderful World
67,Wingspan
68,Splendor Duel
69,Spots
70,7 Wonders: Architects
71,Clans of Caledonia
72,Arkham Horror (Third Edition)
73,Dice Town
74,Anachrony
75,The White Castle
76,Ticket to Ride: Europe
77,Bitoku
78,Ticket to Ride: Europe – 15th Anniversary
79,Terraforming Mars
80,Calico
81,Troyes
82,Furnace
83,Not Alone
84,Turing Machine
85,Cascadia
86,Verdant
87,"Unmatched: Battle of Legends, Volume One"
88,Riftforce
89,7 Wonders Duel
90,Post Office
91,Deep Sea Adventure
92,Enigma: Beyond Code
93,Maracaibo
94,Meadow
95,Suburbia + Inc.
96,Shinkansen: Zero-Kei
97,Sea Salt & Paper
98,Benevolent
99,Carcassonne: 20th Anniversary Edition
100,Beyond the Sun
101,World of Warcraft: Wrath of the Lich King
102,Brass: Birmingham
103,Tokyo Ghoul: Bloody Masquerade
104,Orléans
105,Messina 1347
106,Century: Big Box
107,Lata
108,Stone Age
109,Planet Unknown
110,The Red Cathedral
111,Sabika
112,Flamecraft
113,Earth
114,Carcassonne
115,Gloomhaven
116,Grand Austria Hotel
117,Tzolk'in: The Mayan Calendar
118,Great Western Trail
119,Village: Big Box
120,Murano: Light Masters
121,Alchemists
122,Unfair
123,Awkward Guests: The Walton Case
124,Deep State: New World Order
125,Rats of Wistar
126,Golem
127,Among the Stars
128,Smartphone Inc.
129,Santa Monica
130,The Quacks of Quedlinburg
131,Oriflamme
132,Star Realms
133,Agricola (Revised Edition)
134,Café
135,IKI
136,New York Zoo
137,Takenoko
138,Ra
139,Prêt-à-Porter
140,Dungeon Petz
141,The Isle of Cats
142,Le Havre
143,Wayfarers of the South Tigris
144,Bullet♥︎
145,Akropolis
146,La Granja
147,Ryozen
148,Bruges
149,Last Aurora
150,Ancient Knowledge
151,Meenakshi Temple
152,Praga Caput Regni
153,Santa Maria
154,Ghost Letters
155,Space Bureau
156,Cryo
157,Nusfjord
158,Trapwords
159,Bärenpark
160,Ticket to Ride: Nordic Countries
161,Wild: Serengeti
162,Port Royal: Big Box
163,Tales of Tails
164,Imperial Settlers: Empires of the North
165,Underwater Cities
166,Tiwanaku
167,Nidavellir
168,Tiny Towns
169,Khôra: Rise of an Empire
170,Incan Gold
171,Welcome to the Moon
172,Hallertau
173,Hadrian's Wall
174,My Shelfie
175,Glen More II: Chronicles
176,NOIR: Deductive Mystery Game
177,Terraforming Mars: Ares Expedition
178,Passengers
179,Cerberus
180,Ca$h 'n Guns: Second Edition
181,Three Sisters
182,Caverna: Cave vs Cave
183,Winter Queen
184,Niagara
185,Pyramido
186,Dale of Merchants
187,Space Base
188,The Taverns of Tiefenthal
189,Red Rising
190,Azul
191,Architects of the West Kingdom
192,Ark Nova
193,Sagrada
194,Paladins of the West Kingdom
195,Paris: La Cité de la Lumière
196,Evolution: The Origin of Species
197,Viscounts of the West Kingdom
198,Pandemic
199,MicroMacro: Crime City – Full House
200,Citadels
201,Fleet: The Dice Game
202,ScandalOh!
203,CATAN
204,Codenames
205,Codenames: Duet
