Rank ,Item 
1,Feed the Kraken
2,Grand Austria Hotel
3,Hansa Teutonica: Big Box
4,Tyrants of the Underdark: Board Game
5,Mysthea
6,La Cosa Nostra
7,Terraforming Mars
8,Dune: Imperium – Uprising
9,Bitoku
10,Dune: Imperium
11,Brass: Birmingham
12,Not Alone
13,Gloomhaven
14,Five Tribes: The Djinns of Naqala
15,Carcassonne: 20th Anniversary Edition
16,Marco Polo II: In the Service of the Khan
17,The Castles of Burgundy
18,Mage Knight: Ultimate Edition
19,Scythe
20,Lost Ruins of Arnak
21,Maximum Apocalypse
22,Praga Caput Regni
23,Stone Age
24,The Isle of Cats
25,Carcassonne
26,Harmonies
27,Ancient Knowledge
28,Ca$h 'n Guns: Second Edition
29,Ark Nova
30,The Quacks of Quedlinburg
31,Alchemists
32,Meenakshi Temple
33,Citadels
34,Tokyo Ghoul: Bloody Masquerade
35,Radlands
36,Tzolk'in: The Mayan Calendar
37,Survive: Escape from Atlantis!
38,Bruges
39,The Quest for El Dorado
40,Maracaibo
41,Red Rising
42,Wingspan
43,Three Sisters
44,Golem
45,Clans of Caledonia
46,Deep Sea Adventure
47,Dice Town
48,Anachrony
49,Codenames
50,Last Aurora
51,My Shelfie
52,Architects of the West Kingdom
53,Port Royal: Big Box
54,Nemesis
55,Blood Rage
56,Hero Realms
57,On Mars
58,Spartacus: A Game of Blood and Treachery
59,Evergreen
60,Underwater Cities
61,Brazil: Imperial
62,Paladins of the West Kingdom
63,The White Castle
64,Prêt-à-Porter
65,Arkham Horror (Third Edition)
66,Flamecraft
67,Le Havre
68,Agricola (Revised Edition)
69,Return to Dark Tower
70,Khôra: Rise of an Empire
71,Messina 1347
72,Small World
73,Rats of Wistar
74,Welcome to the Moon
75,Orléans
76,Barrage
77,Ticket to Ride: Europe
78,Murano: Light Masters
79,Ryozen
80,Among the Stars
81,Mind MGMT: The Psychic Espionage “Game.”
82,Viticulture Essential Edition
83,IKI
84,Yukon Airways
85,Azul
86,Castles of Mad King Ludwig
87,Shinkansen: Zero-Kei
88,Ra
89,Ticket to Ride: Nordic Countries
90,Glen More II: Chronicles
91,Viscounts of the West Kingdom
92,Fleet: The Dice Game
93,Calico
94,The Search for Planet X
95,Space Base
96,Santa Monica
97,The Taverns of Tiefenthal
98,Cascadia
99,Shards of Infinity
100,Niagara
101,Nanty Narking
102,Project: ELITE
103,Hallertau
104,Galaxy Trucker (Second Edition)
105,Caverna: Cave vs Cave
106,Space Bureau
107,Akropolis
108,Dune: War for Arrakis
109,Brass: Lancashire
110,Cerberus
111,The Gallerist
112,Kanban EV
113,Hegemony: Lead Your Class to Victory
114,Incan Gold
115,Spots
116,Planet Unknown
117,Vinhos: Deluxe Edition
118,Village: Big Box
119,Cryo
120,Earth
121,Bullet♥︎
122,Clank!: A Deck-Building Adventure
123,Sky Team
124,Revive
125,Twilight Struggle
126,Nusfjord
127,Unconscious Mind
128,Dale of Merchants
129,Tiny Towns
130,Dungeon Petz
131,Sabika
132,Star Realms
133,Unfair
134,Santa Maria
135,La Granja
136,Takenoko
137,Re;ACT - The Arts of War
138,7 Wonders: Architects
139,Enigma: Beyond Code
140,Beyond the Sun
141,Wild: Serengeti
142,Paris: La Cité de la Lumière
143,Imperial Settlers: Empires of the North
144,Trickerion: Collector's Edition
145,MicroMacro: Crime City – Full House
146,Ghost Letters
147,Troyes
148,Great Western Trail
149,Everdell
150,7 Wonders (Second Edition)
151,Pyramido
152,Lata
153,Turing Machine
154,Smartphone Inc.
155,Sagrada
156,Suburbia + Inc.
157,New York Zoo
158,Ticket to Ride: Europe – 15th Anniversary
159,Tiwanaku
160,Sword & Sorcery
161,Deep State: New World Order
162,NOIR: Deductive Mystery Game
163,Wayfarers of the South Tigris
164,London (Second Edition)
165,Pampero
166,Century: Big Box
167,Verdant
168,Cryptid
169,ScandalOh!
170,Intent to Kill
171,The Red Cathedral
172,City of the Great Machine
173,Bärenpark
174,Post Office
175,Sea Salt & Paper
176,Furnace
177,Tales of Tails
178,Hadrian's Wall
179,Meadow
180,Undaunted: Normandy
181,It's a Wonderful World
182,CATAN
183,Trapwords
184,Res Arcana
185,Splendor Duel
186,Benevolent
187,Fury of Dracula (Third/Fourth Edition)
188,Arkham Horror: The Card Game
189,The Fox Experiment
190,Terraforming Mars: Ares Expedition
191,War Chest
192,Awkward Guests: The Walton Case
193,Riftforce
194,Evolution: The Origin of Species
195,Nidavellir
196,7 Wonders Duel
197,Passengers
198,Winter Queen
199,Café
200,Codenames: Duet
201,Oriflamme
202,Pandemic
203,Captain Sonar
204,Unmatched: Redemption Row
205,Unmatched: Battle of Legends, Volume One
206,Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex
207,World of Warcraft: Wrath of the Lich King
208,Unmatched: Teen Spirit
209,Unmatched: Cobble & Fog
210,Unmatched: Battle of Legends, Volume Two
211,Unmatched: Sun's Origin
212,Unmatched: Houdini vs. The Genie
213,Unmatched: Hell's Kitchen
214,Unmatched: Jurassic Park – InGen vs Raptors
215,Unmatched: Slings and Arrows
216,Unmatched: For King and Country
217,Unmatched: Robin Hood vs. Bigfoot
218,Unmatched: Little Red Riding Hood vs. Beowulf
219,Unmatched: Brains and Brawn
