Rank,Item
1,Grand Austria Hotel
2,Hansa Teutonica: Big Box
3,Tyrants of the Underdark: Board Game
4,Mysthea
5,La Cosa Nostra
6,Terraforming Mars
7,Dune: Imperium – Uprising
8,Bitoku
9,Feed the Kraken
10,Dune: Imperium
11,Brass: Birmingham
12,Gloomhaven
13,Five Tribes: The Djinns of Naqala
14,Carcassonne: 20th Anniversary Edition
15,Marco Polo II: In the Service of the Khan
16,The Castles of Burgundy
17,Mage Knight: Ultimate Edition
18,Scythe
19,Not Alone
20,Lost Ruins of Arnak
21,Maximum Apocalypse
22,Praga Caput Regni
23,Stone Age
24,The Isle of Cats
25,Carcassonne
26,Harmonies
27,Ancient Knowledge
28,Ark Nova
29,The Quacks of Quedlinburg
30,Alchemists
31,Meenakshi Temple
32,Citadels
33,Tokyo Ghoul: Bloody Masquerade
34,Radlands
35,"Tzolk'in: The Mayan Calendar"
36,Survive: Escape from Atlantis!
37,Bruges
38,The Quest for El Dorado
39,Maracaibo
40,Red Rising
41,Wingspan
42,Three Sisters
43,Golem
44,Clans of Caledonia
45,Deep Sea Adventure
46,"Ca$h 'n Guns: Second Edition"
47,Dice Town
48,Anachrony
49,Codenames
50,Last Aurora
51,My Shelfie
52,Architects of the West Kingdom
53,Port Royal: Big Box
54,Nemesis
55,Blood Rage
56,Hero Realms
57,On Mars
58,Spartacus: A Game of Blood and Treachery
59,Evergreen
60,Underwater Cities
61,Brazil: Imperial
62,Paladins of the West Kingdom
63,"Aeon's End"
64,The White Castle
65,Prêt-à-Porter
66,Arkham Horror (Third Edition)
67,Flamecraft
68,Le Havre
69,Agricola (Revised Edition)
70,Return to Dark Tower
71,Khôra: Rise of an Empire
72,Messina 1347
73,Small World
74,Trapwords
75,Rats of Wistar
76,Welcome to the Moon
77,Orléans
78,Barrage
79,Ticket to Ride: Europe
80,Murano: Light Masters
81,Ryozen
82,Among the Stars
83,Mind MGMT: The Psychic Espionage “Game.”
84,Viticulture Essential Edition
85,IKI
86,Yukon Airways
87,Azul
88,Castles of Mad King Ludwig
89,Shinkansen: Zero-Kei
90,Ra
91,Ticket to Ride: Nordic Countries
92,Glen More II: Chronicles
93,Viscounts of the West Kingdom
94,Fleet: The Dice Game
95,Calico
96,The Search for Planet X
97,Space Base
98,Santa Monica
99,For Sale
100,The Taverns of Tiefenthal
101,Cascadia
102,Shards of Infinity
103,Niagara
104,Nanty Narking
105,Project: ELITE
106,Hallertau
107,Galaxy Trucker (Second Edition)
108,Caverna: Cave vs Cave
109,Space Bureau
110,Akropolis
111,Dune: War for Arrakis
112,Brass: Lancashire
113,Cerberus
114,Distilled
115,The Gallerist
116,Kanban EV
117,Hegemony: Lead Your Class to Victory
118,Incan Gold
119,Spots
120,Planet Unknown
121,Sleeping Gods
122,Vinhos: Deluxe Edition
123,Village: Big Box
124,Cryo
125,Earth
126,Bullet♥︎
127,Clank!: A Deck-Building Adventure
128,Sky Team
129,Revive
130,Twilight Struggle
131,Nusfjord
132,Unconscious Mind
133,Dale of Merchants
134,Tiny Towns
135,Heredity: The Book of Swan
136,Dungeon Petz
137,Sabika
138,Star Realms
139,Unfair
140,Santa Maria
141,La Granja
142,Takenoko
143,Re;ACT - The Arts of War
144,7 Wonders: Architects
145,Enigma: Beyond Code
146,Beyond the Sun
147,Wild: Serengeti
148,Paris: La Cité de la Lumière
149,Imperial Settlers: Empires of the North
150,"Trickerion: Collector's Edition"
151,MicroMacro: Crime City – Full House
152,Café
153,Aquatica
154,Ghost Letters
155,Lorenzo il Magnifico
156,Galaxy Trucker
157,Troyes
158,Fields of Green
159,Great Western Trail
160,Everdell
161,7 Wonders (Second Edition)
162,Pyramido
163,Lata
164,Turing Machine
165,Smartphone Inc.
166,Meadow
167,Sagrada
168,Suburbia + Inc.
169,New York Zoo
170,Ticket to Ride: Europe – 15th Anniversary
171,Oh My Goods!
172,Star Wars: Rebellion
173,Tiwanaku
174,Sword & Sorcery
175,Bonsai
176,Deep State: New World Order
177,NOIR: Deductive Mystery Game
178,Wayfarers of the South Tigris
179,London (Second Edition)
180,Pampero
181,Century: Big Box
182,Verdant
183,Cryptid
184,Race for the Galaxy
185,ScandalOh!
186,Intent to Kill
187,Space Explorers
188,The Red Cathedral
189,City of the Great Machine
190,War of the Ring: Second Edition
191,War of the Ring: The Card Game
192,Bärenpark
193,Post Office
194,Carnegie
195,Raiders of Scythia
196,For Glory
197,Break the Code
198,Sea Salt & Paper
199,Furnace
200,Tales of Tails
201,Xia: Legends of a Drift System
202,"Hadrian's Wall"
203,Rajas of the Ganges
204,Undaunted: Normandy
205,"It's a Wonderful World"
206,CATAN
207,Power Grid: The Card Game
208,Re;ACT: The Arts of War
209,Barbaria
210,Res Arcana
211,Splendor Duel
212,Benevolent
213,Living Forest
214,Fury of Dracula (Third/Fourth Edition)
215,Too Many Bones
216,Amulet
217,King of Tokyo
218,The Lord of the Rings: Duel for Middle-earth
219,Pax Renaissance: 2nd Edition
220,Arkham Horror: The Card Game
221,The Fox Experiment
222,Terraforming Mars: Ares Expedition
223,War Chest
224,Tainted Grail: The Fall of Avalon
225,Awkward Guests: The Walton Case
226,Riftforce
227,Imperium: Classics
228,Evolution: The Origin of Species
229,Nidavellir
230,Furnace Duel
231,7 Wonders Duel
232,Passengers
233,Winter Queen
234,Codenames: Duet
235,Oriflamme
236,Pandemic
237,Captain Sonar
238,"Unmatched: Battle of Legends, Volume One"
239,World of Warcraft: Wrath of the Lich King
240,Monopoly
