NameEng,NameRus,TeseraName,ParentEngName
"Ca$h 'n Guns: Second Edition",,cash-and-guns-second-edition,
"Grand Austria Hotel: Let's Waltz!","Гранд-отель «Австрия». Станцуем вальс!",grand-austria-hotel-lets-waltz,Grand Austria Hotel
"Hadrian's Wall",Вал Адриана,hadrians-wall,
"It's a Wonderful World",Этот безумный мир,its-a-wonderful-world,
"Trickerion: Collector's Edition",Трикерион. Искусство иллюзии,trickerion-collectors-edition,
"Tzolk'in: The Mayan Calendar",Цолькин: календарь Майя,tzolkin-the-mayan-calendar,
7 Wonders (Second Edition),7 чудес (вторая редакция),7-wonders,
7 Wonders Duel,7 чудес дуэль,7-wonders-duel,
7 Wonders: Architects,7 чудес: Архитекторы,7-wonders-architects,
Agricola (Revised Edition),Агрикола,Agricola-revised-edition,
Akropolis,Акрополис,akropolis-2022,
Alchemists,Алхимики,alchemists,
Among the Stars,Среди звезд,among-the-stars,
Anachrony,Анахронность,anachrony,
Ancient Knowledge,Древнее знание,ancient-knowledge,
Architects of the West Kingdom,Архитекторы западного королевства,architects-of-the-west-kingdom,
Ark Nova,,ark-nova,
Arkham Horror (Third Edition),Ужас Аркэма (третья редакция),arkham-horror-third-edition,
Arkham Horror: The Card Game,Ужас Аркхэма: карточная игра,arkham-horror-the-card-game,
Awkward Guests: The Walton Case,Опасные гости. Кто убил мистера Уолтона?,awkward-guests,
Azul,Азул,azul,
Barrage,Плотина,barrage,
Benevolent,Лесные тайны,lesnie-tajni,
Beyond the Sun,Вдали от солнца,beyond-the-sun,
Bitoku,Битоку,bitoku,
Blood Rage,Кровь и ярость,blood-rage,
Brass: Birmingham,Брасс: Бирмингем,brass-birmingham,
Brass: Lancashire,Брасс: Ланкашир,brass-lancashire,
Brazil: Imperial,Бразилия,brazil-imperial,
Bruges,Брюгге,Brugge,
Bullet: Orange,Буллет: Оранж,bullet-orange,Bullet♥︎
Bullet♥︎,Буллет,bullet,
Bärenpark,Медвежий парк,bearpark,
Café,Кофе,cafe,
Calico,Котики,calico,
Captain Sonar,Капитан Сонар,captain-sonar,
Carcassonne,Каркассон,carcassonne,
Carcassonne: 20th Anniversary Edition,Каркассон: Юбилейное издание,Carcassonne20th,
Cascadia,Каскадия,cascadia,
Castles of Mad King Ludwig,Замки безумного короля Людвига,castles-of-mad-king-ludwig,
Castles of Mad King Ludwig: Expansions,Замки безумного короля Людвига. Дополнения,castles-of-mad-king-ludwig-expansions,Castles of Mad King Ludwig
CATAN,Колонизаторы,the-settlers-of-catan,
CATAN: Cities & Knights,Catan: Города и рыцари,catan-cities-knights,CATAN
CATAN: Seafarers,Catan: Мореходы,catan-seafarers,CATAN
CATAN: Traders & Barbarians,Catan: Купцы и варвары,catan-traders-and-barbarians,CATAN
Caverna: Cave vs Cave,Каверна. Пещера на пещеру,caverna-cave-vs-cave,
Century: Big Box,Century: Полное издание,century-big-box,
Cerberus,Цербер,Cerberus,
Citadels,Цитадели,citadels,
City of the Great Machine,Город великой машины,city-of-the-great-machine,
Clank!: A Deck-Building Adventure,Кланк! Подземное приключение,clank,
Clans of Caledonia,Кланы Каледонии,clans-caledonia,
Codenames,Кодовые имена,codenames,
Codenames: Duet,Кодовые имена: Дуэт,Codenames-duet,
Cryo,Крио,Cryo,
Cryptid,Криптид,Cryptid,
Dale of Merchants,Долина торговцев,dale-of-merchants,
Deep Sea Adventure,Предельное погружение,deep-sea-adventure,
Deep State: New World Order,Тайная власть. Новый мировой порядок,deep-state-new-world-order,
Dice Town,Дайс таун,dice-town,
Dune: Imperium – Uprising,Дюна: Империя.Восстание,dune-imperium-uprising,
Dune: Imperium,Дюна: Империя,dune-imperium,
Dune: War for Arrakis,Дюна: Война за Арракис,dune-war-for-arrakis,
Dungeon Petz,,Dungeon-Petz,
Earth,Земля,Earth,
Enigma: Beyond Code,Энигма. Код Хаоса,enigma-beyond-code,
