Rank,Item
1,Grand Austria Hotel
2,The White Castle
3,Viticulture Essential Edition
4,Winter Queen
5,The Red Cathedral
6,Port Royal: Big Box
7,Splendor Duel
8,Terraforming Mars: Ares Expedition
9,Sea Salt & Paper
10,Agricola (Revised Edition)
11,Terraforming Mars
12,Five Tribes: The Djinns of Naqala
13,Awkward Guests: The Walton Case
14,Great Western Trail
15,My Shelfie
16,Architects of the West Kingdom
17,Intent to Kill
18,Enigma: Beyond Code
19,Brass: Birmingham
20,Turing Machine
21,Wingspan
22,The Search for Planet X
23,The Taverns of Tiefenthal
24,7 Wonders Duel
25,Maracaibo
26,Lost Ruins of Arnak
27,Hansa Teutonica: Big Box
28,Prêt-à-Porter
29,Orléans
30,On Mars
31,The Quacks of Quedlinburg
32,Clank!: A Deck-Building Adventure
33,Ticket to Ride: Nordic Countries
34,Santa Monica
35,Paris: La Cité de la Lumière
36,Cascadia
37,Santa Maria
38,Deep Sea Adventure
39,Res Arcana
40,Meadow
41,Azul
42,Red Rising
43,Pandemic
44,Yukon Airways
45,Codenames: Duet
46,Calico
47,Star Realms
48,Underwater Cities
49,ScandalOh!
50,Wayfarers of the South Tigris
51,Village: Big Box
52,Sagrada
53,London (Second Edition)
54,Ticket to Ride: Europe
55,Unfair
56,Lata
57,7 Wonders (Second Edition)
58,Akropolis
59,Alchemists
60,Among the Stars
61,Anachrony
62,Ancient Knowledge
63,Ark Nova
64,Arkham Horror (Third Edition)
65,Arkham Horror: The Card Game
66,Barrage
67,Beyond the Sun
68,Bitoku
69,Blood Rage
70,Brass: Lancashire
71,"Ca$h 'n Guns: Second Edition"
72,Café
73,Captain Sonar
74,Carcassonne
75,Century: Big Box
76,Cerberus
77,Citadels
78,City of the Great Machine
79,Clans of Caledonia
80,Codenames
81,Cryo
82,Cryptid
83,Dale of Merchants
84,Deep State: New World Order
85,Dice Town
86,Dune: Imperium
87,Dune: War for Arrakis
88,Dungeon Petz
89,Earth
90,Everdell
91,Evergreen
92,Evolution: The Origin of Species
93,Feed the Kraken
94,Fleet: The Dice Game
95,Furnace
96,Fury of Dracula (Third/Fourth Edition)
97,Galaxy Trucker (Second Edition)
98,Ghost Letters
99,Glen More II: Chronicles
100,Gloomhaven
101,Golem
102,"Hadrian's Wall"
103,Hallertau
104,Harmonies
105,Hegemony: Lead Your Class to Victory
106,Hero Realms
107,IKI
108,Imperial Settlers: Empires of the North
109,Incan Gold
110,"It's a Wonderful World"
111,Khôra: Rise of an Empire
112,La Cosa Nostra
113,La Granja
114,Last Aurora
115,Le Havre
116,Mage Knight: Ultimate Edition
117,Marco Polo II: In the Service of the Khan
118,Maximum Apocalypse
119,Meenakshi Temple
120,Messina 1347
121,MicroMacro: Crime City – Full House
122,Mind MGMT: The Psychic Espionage “Game.”
123,Murano: Light Masters
124,Mysthea
125,Nemesis
126,Nidavellir
127,NOIR: Deductive Mystery Game
128,Not Alone
129,Nusfjord
130,Oriflamme
131,Paladins of the West Kingdom
132,Pampero
133,Planet Unknown
134,Post Office
135,Praga Caput Regni
136,Project: ELITE
137,Radlands
138,Rats of Wistar
139,Return to Dark Tower
140,Riftforce
141,Scythe
142,Shards of Infinity
143,Sky Team
144,Small World
145,Smartphone Inc.
146,Spartacus: A Game of Blood and Treachery
147,Suburbia + Inc.
148,Survive: Escape from Atlantis!
149,Sword & Sorcery
150,The Fox Experiment
151,The Gallerist
152,The Isle of Cats
153,The Quest for El Dorado
154,Three Sisters
155,Tiny Towns
156,Tiwanaku
157,Troyes
158,Twilight Struggle
159,Tyrants of the Underdark: Board Game
160,"Tzolk'in: The Mayan Calendar"
161,Undaunted: Normandy
162,Verdant
163,Vinhos: Deluxe Edition
164,Viscounts of the West Kingdom
165,War Chest
166,Welcome to the Moon
167,Wild: Serengeti
168,World of Warcraft: Wrath of the Lich King
