Rank ,Item 
1,Tyrants of the Underdark: Board Game
2,Mysthea
3,Terraforming Mars
4,Hansa Teutonica: Big Box
5,Grand Austria Hotel
6,Feed the Kraken
7,Praga Caput Regni
8,Mage Knight: Ultimate Edition
9,La Cosa Nostra
10,Bitoku
11,Dune: Imperium
12,Lost Ruins of Arnak
13,Ca$h 'n Guns: Second Edition
14,Carcassonne
15,Marco Polo II: In the Service of the Khan
16,Survive: Escape from Atlantis!
17,Scythe
18,Not Alone
19,The Isle of Cats
20,Brass: Birmingham
21,Five Tribes: The Djinns of Naqala
22,Gloomhaven
23,Maximum Apocalypse
24,The Quest for El Dorado
25,Cerberus
26,Harmonies
27,Spartacus: A Game of Blood and Treachery
28,Brass: Lancashire
29,Maracaibo
30,Nemesis
31,Architects of the West Kingdom
32,Messina 1347
33,Evergreen
34,Return to Dark Tower
35,Blood Rage
36,Twilight Struggle
37,Radlands
38,Citadels
39,Red Rising
40,Dice Town
41,Ticket to Ride: Europe
42,The Search for Planet X
43,Orléans
44,Mind MGMT: The Psychic Espionage “Game.”
45,The White Castle
46,Yukon Airways
47,Santa Monica
48,Pampero
49,Shards of Infinity
50,Cascadia
51,On Mars
52,Paladins of the West Kingdom
53,Viticulture Essential Edition
54,Barrage
55,Tzolk'in: The Mayan Calendar
56,Galaxy Trucker (Second Edition)
57,Unfair
58,Turing Machine
59,City of the Great Machine
60,Port Royal: Big Box
61,Dune: War for Arrakis
62,Verdant
63,Fleet: The Dice Game
64,Wayfarers of the South Tigris
65,Arkham Horror (Third Edition)
66,Project: ELITE
67,Sagrada
68,The Gallerist
69,War Chest
70,Troyes
71,Wild: Serengeti
72,Res Arcana
73,Village: Big Box
74,Among the Stars
75,Hegemony: Lead Your Class to Victory
76,The Red Cathedral
77,Earth
78,Tiwanaku
79,Paris: La Cité de la Lumière
80,Post Office
81,Deep State: New World Order
82,Azul
83,London (Second Edition)
84,Great Western Trail
85,Agricola (Revised Edition)
86,Dungeon Petz
87,ScandalOh!
88,Sword & Sorcery
89,Arkham Horror: The Card Game
90,Everdell
91,7 Wonders (Second Edition)
92,Vinhos: Deluxe Edition
93,Terraforming Mars: Ares Expedition
94,MicroMacro: Crime City – Full House
95,Splendor Duel
96,The Fox Experiment
97,Evolution: The Origin of Species
98,World of Warcraft: Wrath of the Lich King
99,Awkward Guests: The Walton Case
100,7 Wonders Duel
101,Nidavellir
102,Fury of Dracula (Third/Fourth Edition)
103,Pandemic
104,Captain Sonar
