Rank,Item
1,Deep Sea Adventure
2,War Chest
3,Brass: Birmingham
4,Brass: Lancashire
5,Dune: Imperium
6,Terraforming Mars
7,Nemesis
8,Barrage
9,Hansa Teutonica: Big Box
10,Mysthea
11,Mind MGMT: The Psychic Espionage “Game.”
12,City of the Great Machine
13,Dune: War for Arrakis
14,Tyrants of the Underdark: Board Game
15,Hegemony: Lead Your Class to Victory
16,La Cosa Nostra
17,Spartacus: A Game of Blood and Treachery
18,Troyes
19,Scythe
20,Fury of Dracula (Third/Fourth Edition)
21,Five Tribes: The Djinns of Naqala
22,The Fox Experiment
23,Everdell
24,Unfair
25,Arkham Horror: The Card Game
26,Dice Town
27,The Search for Planet X
28,Turing Machine
29,Evergreen
30,The Quest for El Dorado
31,Galaxy Trucker (Second Edition)
32,Harmonies
33,Grand Austria Hotel
34,Tiwanaku
35,Yukon Airways
36,Port Royal: Big Box
37,Glen More II: Chronicles
38,Viticulture Essential Edition
39,Post Office
40,Lost Ruins of Arnak
41,Ticket to Ride: Europe
42,Ticket to Ride: Nordic Countries
43,Akropolis
44,Carcassonne
45,"It's a Wonderful World"
46,Maximum Apocalypse
47,Orléans
48,"Tzolk'in: The Mayan Calendar"
49,Clank!: A Deck-Building Adventure
50,Azul
51,Res Arcana
52,The Red Cathedral
53,Small World
54,Cascadia
55,Sagrada
56,ScandalOh!
57,Awkward Guests: The Walton Case
58,The Gallerist
59,Cryptid
60,Wingspan
61,Messina 1347
62,Praga Caput Regni
63,London (Second Edition)
64,Last Aurora
65,Bitoku
66,Project: ELITE
67,Great Western Trail
68,Deep State: New World Order
69,Splendor Duel
70,7 Wonders Duel
71,Paris: La Cité de la Lumière
72,Verdant
73,Nidavellir
74,The White Castle
75,Shards of Infinity
76,Underwater Cities
77,On Mars
78,Pampero
79,Architects of the West Kingdom
80,Wayfarers of the South Tigris
81,Century: Big Box
82,Marco Polo II: In the Service of the Khan
83,Terraforming Mars: Ares Expedition
84,Radlands
85,Captain Sonar
86,Ghost Letters
87,Wild: Serengeti
88,Clans of Caledonia
89,Agricola (Revised Edition)
90,Vinhos: Deluxe Edition
91,Earth
92,The Isle of Cats
93,"Ca$h 'n Guns: Second Edition"
94,Santa Monica
95,Alchemists
96,Dungeon Petz
97,Red Rising
98,Village: Big Box
99,7 Wonders (Second Edition)
100,Citadels
101,Calico
102,Cerberus
103,Maracaibo
104,World of Warcraft: Wrath of the Lich King
105,The Quacks of Quedlinburg
106,Paladins of the West Kingdom
107,Twilight Struggle
108,Le Havre
109,Among the Stars
110,Murano: Light Masters
111,Not Alone
112,Beyond the Sun
113,Imperial Settlers: Empires of the North
114,Sea Salt & Paper
115,Welcome to the Moon
116,Arkham Horror (Third Edition)
117,Ark Nova
118,Santa Maria
119,Enigma: Beyond Code
120,Tiny Towns
121,Incan Gold
122,Hallertau
123,IKI
124,Rats of Wistar
125,Nusfjord
126,Fleet: The Dice Game
127,Survive: Escape from Atlantis!
128,Cryo
129,Blood Rage
130,Gloomhaven
131,Mage Knight: Ultimate Edition
132,Golem
133,Khôra: Rise of an Empire
134,Lata
135,Meadow
136,Evolution: The Origin of Species
137,Meenakshi Temple
138,Return to Dark Tower
139,My Shelfie
140,Prêt-à-Porter
141,Sky Team
142,Winter Queen
143,Sword & Sorcery
144,MicroMacro: Crime City – Full House
145,Pandemic
146,Feed the Kraken
